uuid,adding_salt,aniseed,apple_juice,apples,asparagus,aubergine,avocados,bacon,baked_steamed_fish,bananas,barbequed_grilled_meat,beef_steak,beetroot,bell_pepper,bicycling,biscuits,bitter_foods,bitter_ale,black_olives,black_pepper,blue_cheese,bolognese_sauce,broad_beans,broccoli,brown_rice,brussel_sprouts,burgers_meat,burn_spicy_foods,butter_bread,butternut_squash,cabbage,cake,cake_icing,capers,cauliflower,cereal_granola_bar,cheesecake,cherries,chicken,chilli_pepper,chips_french_fries,cigarette_smoking,cod,coffee_with_sugar,coffee_without_sugar,coriander,corn_flakes,cream,croissant,cucumber,curry,dairy_products,dark_chocolate,diet_fizzy_drinks,dried_fruit,eggs,exercising_alone,exercising_with_others,extra_virgin_olive_oil,fatty_foods,fresh_tomatoes,fried_chicken,fried_battered_fish,fruit,garlic,gherkins,globe_artichoke,goats_cheese,going_cafe,going_gym,going_pub,grapefruit,green_olives,haddock,ham,hard_cheese,herring,honey,horseradish_wasabi,ice_cream,jam,kiwi_fruit,lager,lamb,lemons,lentils_beans,liver,mackerel,marzipan,mayonnaise,melon,milk_chocolate,mushrooms,onions,orange_juice,oranges,pasta,pears,pizza,plain_yogurt,plums,pollock,pork_chop,porridge,potato_crisps,potatoes,prawns,raw_carrots,red_meat,red_wine,regular_fizzy_drinks,roast_chicken,salad_dressing,salad_leaves,salami,salmon,salty_foods,salty_pretzels,sardines,sausages_meat,savoury_biscuits,shellfish_other,skimmed_milk,smoked_fish,soft_cheese,soy_sauce,soya_milk,spicy_foods,spinach,spirits,strawberries,sweet_coffee_drinks,sweet_foods,taking_stairs,tea_with_sugar,tea_without_sugar,tomato_ketchup,tinned_tuna,turnip_white,vegetables,vinegar,watching_television,whisky,white_bread,white_rice,white_wine,whole_grain_cereal,whole_milk,wholemeal_bread,working_up_sweat
db3eb9a6-d1cc-460d-88b1-ba92f8303da6,8,3,6,7,6,4,7,8,7,6,8,7,5,6,7,5,4,3,5,8,4,7,5,7,6,5,8,6,8,6,6,5,5,4,6,5,6,7,9,6,7,10,5,5,6,7,5,6,7,6,9,7,6,5,5,8,6,7,9,6,7,8,6,8,9,5,5,6,7,6,7,3,5,4,6,7,2,6,4,8,6,5,6,7,8,5,2,3,4,6,7,8,7,7,6,7,9,6,8,5,5,4,7,5,6,8,7,6,8,6,3,9,5,4,5,7,6,4,3,7,5,6,5,5,5,6,3,7,6,5,6,5,6,7,4,5,7,6,4,7,5,4,5,6,7,6,5,5,5,6
2890e191-cd6b-46d4-b556-e046c0bd575e,7,2,6,5,4,3,8,9,8,6,9,9,3,5,6,4,2,3,4,7,2,7,3,6,5,5,9,8,6,5,4,2,3,3,5,3,4,5,9,7,6,10,5,4,5,6,3,5,4,6,9,7,5,2,3,8,5,6,8,6,7,8,6,7,9,4,3,5,6,5,6,3,5,4,7,6,2,5,3,7,4,5,5,8,6,7,2,4,2,5,6,7,7,7,6,5,8,5,8,5,4,4,8,3,6,8,5,6,9,7,4,9,6,5,4,8,6,3,2,8,5,3,5,6,4,6,3,7,7,5,6,3,4,6,3,5,7,5,4,8,6,5,4,5,7,6,5,5,6,6
37ed309e-51ab-4477-a6b9-cc7d21742890,8,2,5,6,7,3,6,9,7,6,9,8,4,6,7,5,3,4,5,8,3,8,4,7,6,5,9,6,8,5,6,6,5,7,5,5,5,7,9,7,7,10,5,5,5,6,5,6,5,6,9,7,6,5,5,8,5,7,9,6,7,8,6,8,9,5,5,5,7,6,7,3,5,4,8,6,2,7,4,8,6,5,7,8,7,6,2,3,4,6,7,8,7,7,6,6,9,5,9,6,5,4,8,5,7,8,9,6,9,6,4,9,5,5,5,8,7,4,3,8,5,9,5,6,5,6,3,7,7,5,6,5,6,7,4,5,7,6,4,8,5,5,4,6,7,6,5,5,5,6
8f5591dc-33b6-4f6c-aeca-f9aa2dba9b82,7,3,6,7,5,4,6,8,7,8,8,9,4,6,6,7,3,4,5,7,5,8,4,7,6,5,9,6,8,5,5,8,7,4,5,5,8,7,9,6,6,10,5,5,6,7,5,6,7,6,8,7,7,5,6,8,6,7,8,6,7,8,6,8,9,5,5,6,7,6,6,3,4,5,7,6,2,8,4,8,7,6,5,7,7,6,2,5,4,6,7,8,7,7,6,7,9,6,8,5,6,5,7,4,6,8,7,6,8,5,4,9,6,5,4,7,6,4,3,7,5,6,5,4,5,6,3,7,6,4,7,5,7,6,4,5,7,6,4,8,5,5,4,6,7,5,6,5,6,5
1c8bc203-ab90-4408-9fc1-848210c0d686,5,2,6,7,5,3,4,3,7,6,4,2,3,5,4,7,3,2,3,5,2,5,3,6,5,4,2,5,8,6,4,8,7,3,5,5,6,8,4,5,6,10,4,5,4,5,5,6,7,6,5,6,7,4,6,7,5,6,7,3,6,4,4,8,9,5,4,5,7,5,5,3,4,3,4,6,2,7,4,8,6,5,4,3,6,5,1,3,5,6,7,8,6,5,6,7,8,6,7,5,6,3,4,5,7,7,3,5,1,5,3,5,5,5,3,7,5,3,1,1,5,3,5,3,5,5,3,5,7,3,7,5,7,5,5,5,5,5,3,7,5,5,3,7,5,5,5,5,5,5
153be4f8-149e-43c0-9627-c02c06db80ab,8,2,5,6,7,3,6,9,8,5,9,9,4,6,7,5,3,2,6,7,3,8,4,6,5,6,9,7,8,5,6,4,5,3,5,3,5,6,9,7,8,10,7,5,6,6,4,6,5,6,9,7,6,4,5,9,5,7,8,7,8,9,7,7,9,5,4,5,6,5,7,3,5,6,8,7,2,6,4,5,4,5,7,8,7,6,2,3,2,6,5,7,7,8,6,5,9,5,9,6,4,5,8,5,6,8,9,5,9,6,4,9,6,5,6,7,7,5,3,9,5,8,5,6,5,6,3,8,6,5,6,4,5,7,4,6,8,6,4,7,6,5,4,7,6,5,5,5,6,6
b59fccb7-52c6-4bcd-aa30-550c7231aff2,7,1,5,6,5,3,6,4,8,7,6,2,3,6,5,4,2,1,3,6,2,5,3,6,5,4,2,5,7,5,4,5,6,3,5,3,5,6,7,5,7,10,4,5,6,5,4,6,5,6,5,6,7,4,3,7,5,6,7,4,6,6,4,7,9,3,4,5,6,5,5,3,4,2,4,6,1,7,3,8,6,5,4,3,7,5,1,2,3,5,6,8,6,5,7,6,7,5,4,6,5,2,3,4,6,8,7,6,2,5,3,7,5,4,2,6,5,4,2,1,4,6,5,4,5,6,4,6,7,4,6,3,5,6,4,5,5,6,3,7,5,4,3,5,7,5,6,5,4,5
7e9a74be-17d1-40b5-b94a-d92e03e8dfe5,7,3,5,6,6,4,7,8,7,6,8,8,5,6,6,5,4,5,5,7,4,8,4,7,6,5,8,6,8,5,5,6,5,4,5,5,7,6,9,7,7,10,5,5,6,7,5,6,5,7,8,7,6,5,5,8,5,7,8,6,7,8,6,7,9,5,5,5,7,6,6,3,4,5,7,6,2,7,4,8,5,6,5,7,8,5,2,4,3,6,7,8,7,7,6,7,9,6,8,5,5,4,7,4,6,8,7,6,8,6,4,9,6,5,5,7,6,4,3,7,5,6,5,5,6,7,3,8,7,5,6,5,6,6,4,5,7,6,4,8,6,5,5,6,7,5,6,5,6,5
60be2814-8c7a-4037-84d3-5825ae40e6b7,5,3,5,6,4,2,6,3,7,6,2,1,3,5,6,5,3,2,4,5,3,6,3,7,5,4,1,4,6,5,4,6,6,3,5,5,5,7,5,4,5,10,3,6,4,5,5,6,5,6,5,6,7,4,5,6,5,6,7,3,6,4,4,7,8,5,3,4,6,5,5,3,3,2,4,5,2,6,3,7,5,4,5,3,6,4,1,2,4,5,6,7,5,5,6,6,8,5,6,5,4,2,2,3,6,5,3,5,3,5,3,7,5,5,3,5,4,3,3,1,4,3,5,3,5,5,3,5,5,3,5,5,5,5,5,5,5,5,3,7,5,5,3,5,5,5,5,5,5,5
56a377c2-78e8-4839-9b55-bd1c357bdfa3,8,2,6,7,6,4,8,9,7,5,9,8,3,7,6,5,3,4,6,8,3,7,4,6,5,5,9,7,9,6,5,4,3,4,5,5,5,6,9,7,7,10,6,5,6,7,5,6,5,6,9,7,6,5,5,8,5,7,9,6,7,8,6,7,9,5,6,5,6,5,7,3,5,5,7,6,2,8,4,8,6,5,6,7,8,5,2,4,3,6,7,8,7,7,6,7,9,6,8,5,5,4,7,4,6,8,9,5,8,7,3,9,6,5,6,8,7,4,3,8,5,9,4,6,5,7,3,8,7,6,5,4,5,6,3,5,7,6,4,7,6,5,5,6,7,6,5,4,5,6
