uuid,adding_salt,aniseed,apple_juice,apples,asparagus,aubergine,avocados,bacon,baked_steamed_fish,bananas,barbequed_grilled_meat,beef_steak,beetroot,bell_pepper,bicycling,biscuits,bitter_foods,bitter_ale,black_olives,black_pepper,blue_cheese,bolognese_sauce,broad_beans,broccoli,brown_rice,brussel_sprouts,burgers_meat,burn_spicy_foods,butter_bread,butternut_squash,cabbage,cake,cake_icing,capers,cauliflower,cereal_granola_bar,cheesecake,cherries,chicken,chilli_pepper,chips_french_fries,cigarette_smoking,cod,coffee_with_sugar,coffee_without_sugar,coriander,corn_flakes,cream,croissant,cucumber,curry,dairy_products,dark_chocolate,diet_fizzy_drinks,dried_fruit,eggs,exercising_alone,exercising_with_others,extra_virgin_olive_oil,fatty_foods,fresh_tomatoes,fried_chicken,fried_battered_fish,fruit,garlic,gherkins,globe_artichoke,goats_cheese,going_cafe,going_gym,going_pub,grapefruit,green_olives,haddock,ham,hard_cheese,herring,honey,horseradish_wasabi,ice_cream,jam,kiwi_fruit,lager,lamb,lemons,lentils_beans,liver,mackerel,marzipan,mayonnaise,melon,milk_chocolate,mushrooms,onions,orange_juice,oranges,pasta,pears,pizza,plain_yogurt,plums,pollock,pork_chop,porridge,potato_crisps,potatoes,prawns,raw_carrots,red_meat,red_wine,regular_fizzy_drinks,roast_chicken,salad_dressing,salad_leaves,salami,salmon,salty_foods,salty_pretzels,sardines,sausages_meat,savoury_biscuits,shellfish_other,skimmed_milk,smoked_fish,soft_cheese,soy_sauce,soya_milk,spicy_foods,spinach,spirits,strawberries,sweet_coffee_drinks,sweet_foods,taking_stairs,tea_with_sugar,tea_without_sugar,tomato_ketchup,tinned_tuna,turnip_white,vegetables,vinegar,watching_television,whisky,white_bread,white_rice,white_wine,whole_grain_cereal,whole_milk,wholemeal_bread,working_up_sweat
306bd6e2-dda2-4150-82b4-a568a2297eb1,8,6,5,11,6,7,3,10,9,7,7,3,10,11,2,4,10,11,8,9,7,5,5,8,1,5,7,2,7,4,10,7,11,8,2,1,5,9,6,9,2,2,9,3,1,11,8,10,11,6,1,5,5,10,2,5,6,9,8,5,5,2,2,2,2,2,1,3,9,5,2,1,11,11,2,1,11,4,7,10,6,9,2,7,2,4,5,2,11,5,9,4,10,8,9,9,7,11,7,8,9,1,3,4,9,4,2,6,10,5,8,5,2,6,4,3,9,3,1,1,10,9,9,3,5,8,1,5,11,2,6,5,10,8,1,3,3,8,4,1,3,5,7,9,3,10,7,7,5,7
9261f621-341c-4032-b2b5-db9dec2b21c5,11,4,10,7,2,10,9,1,7,7,10,10,11,6,8,4,9,6,7,5,10,8,9,3,1,7,5,5,6,8,10,4,10,2,9,6,6,1,8,6,3,9,8,10,6,4,11,6,2,11,1,8,1,10,9,6,3,7,10,4,5,3,3,10,10,11,10,3,11,11,9,7,6,1,9,9,10,10,1,1,4,10,11,7,9,9,5,1,9,2,7,10,9,3,2,11,4,11,10,4,9,4,7,5,11,2,5,6,10,6,4,9,4,9,6,4,5,5,1,11,8,9,9,11,8,4,2,11,8,3,3,11,4,8,5,5,2,1,10,2,10,9,2,4,8,10,9,10,2,3
03679349-1714-49e1-b698-be65942a11a9,9,11,9,1,8,2,8,8,1,1,10,6,6,4,9,11,11,10,2,3,5,10,10,10,11,2,11,1,9,4,2,4,2,10,9,8,2,3,11,8,5,7,8,7,6,3,2,6,4,4,5,11,7,8,4,5,6,6,3,11,7,4,9,2,3,6,8,6,8,1,9,5,2,8,2,10,10,2,8,8,1,11,9,10,7,11,11,10,4,5,9,2,2,4,11,3,4,6,11,1,7,9,5,9,3,1,4,9,5,3,6,8,5,10,2,6,4,3,3,1,6,4,11,7,6,2,1,6,7,4,1,3,1,10,5,6,5,8,11,1,9,9,8,7,11,5,3,2,6,5
46c42a25-704e-4725-ad94-eb744967fd9b,3,6,5,2,11,3,2,10,7,1,9,4,3,6,4,10,4,11,1,10,7,7,11,2,2,3,1,3,9,3,5,4,6,5,11,8,7,5,6,9,4,4,10,10,9,8,9,11,11,11,9,6,11,2,2,7,7,9,4,4,11,7,6,11,10,8,11,6,9,3,1,3,2,5,2,11,9,10,6,4,7,2,10,4,2,6,11,3,10,8,3,2,8,10,9,7,5,11,11,9,10,1,4,3,4,8,6,9,5,10,9,7,4,5,6,3,5,2,2,4,7,7,3,4,8,11,11,8,4,3,9,3,3,8,1,2,3,10,4,8,6,7,11,2,8,9,7,8,6,3
a27d2656-ac77-4e26-999e-99b79751ae69,8,2,7,7,1,5,8,3,1,7,10,4,5,9,5,1,5,9,9,3,8,2,7,10,1,8,1,10,11,9,11,9,10,1,4,4,2,7,4,10,2,9,3,8,7,9,2,4,1,11,5,1,2,2,11,8,11,5,11,4,10,10,2,8,5,10,10,6,1,3,9,11,2,5,3,3,8,10,8,6,8,3,10,1,9,2,9,6,9,6,5,7,7,5,10,7,1,4,7,7,10,9,9,5,9,7,5,6,2,10,7,8,9,3,4,11,3,1,10,11,3,3,1,11,9,4,10,4,10,9,11,10,5,10,8,3,10,5,6,10,10,8,1,2,4,11,6,5,11,11
86551bde-d781-4637-be54-bca81a21f602,1,4,9,2,3,9,3,8,9,4,3,8,3,8,4,7,8,5,9,6,7,5,4,8,5,3,4,8,1,10,7,6,2,11,7,6,7,2,5,8,7,4,4,1,2,3,10,6,9,11,9,6,8,9,4,5,8,7,2,8,9,3,2,10,2,9,9,7,10,8,9,1,11,11,7,9,3,8,9,10,6,9,5,1,3,7,2,2,3,10,3,1,1,7,3,4,10,4,4,10,8,9,10,6,10,1,10,8,9,5,10,5,11,9,10,5,6,10,10,2,1,1,8,9,7,1,8,11,7,10,1,8,2,10,4,8,8,5,8,3,10,7,3,6,2,3,3,2,6,5
066eebf5-117c-489f-a4e1-0d77c30c2a11,2,4,6,4,3,9,2,10,5,4,1,4,2,9,7,6,3,1,1,1,9,2,9,9,3,1,5,3,10,3,1,7,4,10,11,9,5,6,9,3,4,1,6,2,6,9,11,9,5,6,6,10,8,1,9,4,1,1,9,11,9,7,11,7,6,7,9,11,8,5,11,1,3,10,10,7,5,10,10,7,3,6,3,10,7,7,5,6,3,4,10,4,3,7,1,3,5,1,4,4,9,11,5,11,10,6,11,3,4,8,9,4,6,11,7,2,9,10,9,9,4,6,10,1,11,11,8,3,11,10,6,8,8,7,3,2,10,9,1,7,9,8,2,2,2,4,4,5,3,6
f8abb88a-6722-443c-8d80-9b0be19853f7,4,5,6,9,4,9,5,8,5,4,7,5,10,8,5,6,10,8,3,8,9,11,3,1,2,2,9,2,4,1,2,5,3,7,1,7,5,7,5,3,5,6,3,7,6,5,2,8,4,2,8,7,5,3,3,6,5,11,8,8,11,8,9,8,5,4,7,11,6,7,1,1,9,5,9,7,2,1,1,10,8,1,8,9,2,10,3,7,7,4,5,2,11,4,10,8,7,11,4,10,4,6,4,5,8,1,9,1,8,3,10,11,8,9,10,1,7,2,1,3,4,3,7,3,11,5,10,8,8,8,8,9,8,5,2,2,3,6,9,8,7,1,4,7,6,6,2,8,1,3
5a52791e-e93d-4c71-bbf9-df34f5a25d36,2,9,10,7,1,3,5,6,6,10,11,2,8,11,10,3,9,11,5,8,5,2,1,1,2,9,5,1,7,8,3,6,2,9,1,6,5,7,5,9,7,11,10,8,1,11,6,2,1,6,9,9,6,8,3,8,5,2,3,9,3,2,9,8,5,6,8,4,4,1,7,11,10,7,2,11,3,9,8,5,5,2,3,9,4,4,2,10,1,6,9,5,7,11,8,1,10,5,5,11,2,11,1,9,10,9,2,6,10,11,2,1,2,8,7,7,8,7,5,8,2,10,9,10,9,4,9,9,11,3,11,10,9,3,9,3,11,10,7,1,9,7,10,1,4,4,3,8,7,7
220c610d-45b3-4828-a360-218f9f17583e,9,7,10,3,5,8,2,6,2,2,4,8,9,11,10,4,4,10,6,7,10,1,9,8,4,9,11,7,11,10,5,5,7,5,8,10,1,5,4,6,1,7,9,2,4,8,3,7,8,11,5,1,5,4,4,4,2,10,9,3,1,9,8,6,8,10,9,3,3,7,10,3,4,7,9,8,1,10,11,1,3,2,7,1,2,6,1,11,4,6,8,2,1,7,6,9,7,7,6,8,9,8,3,2,6,8,6,11,9,9,2,3,4,3,6,8,7,6,7,5,7,7,4,1,3,11,7,8,5,3,4,10,10,5,5,9,7,1,7,4,9,9,11,9,3,2,10,3,10,7
