uuid,adding_salt,aniseed,apple_juice,apples,asparagus,aubergine,avocados,bacon,baked_steamed_fish,bananas,barbequed_grilled_meat,beef_steak,beetroot,bell_pepper,bicycling,biscuits,bitter_foods,bitter_ale,black_olives,black_pepper,blue_cheese,bolognese_sauce,broad_beans,broccoli,brown_rice,brussel_sprouts,burgers_meat,burn_spicy_foods,butter_bread,butternut_squash,cabbage,cake,cake_icing,capers,cauliflower,cereal_granola_bar,cheesecake,cherries,chicken,chilli_pepper,chips_french_fries,cigarette_smoking,cod,coffee_with_sugar,coffee_without_sugar,coriander,corn_flakes,cream,croissant,cucumber,curry,dairy_products,dark_chocolate,diet_fizzy_drinks,dried_fruit,eggs,exercising_alone,exercising_with_others,extra_virgin_olive_oil,fatty_foods,fresh_tomatoes,fried_chicken,fried_battered_fish,fruit,garlic,gherkins,globe_artichoke,goats_cheese,going_cafe,going_gym,going_pub,grapefruit,green_olives,haddock,ham,hard_cheese,herring,honey,horseradish_wasabi,ice_cream,jam,kiwi_fruit,lager,lamb,lemons,lentils_beans,liver,mackerel,marzipan,mayonnaise,melon,milk_chocolate,mushrooms,onions,orange_juice,oranges,pasta,pears,pizza,plain_yogurt,plums,pollock,pork_chop,porridge,potato_crisps,potatoes,prawns,raw_carrots,red_meat,red_wine,regular_fizzy_drinks,roast_chicken,salad_dressing,salad_leaves,salami,salmon,salty_foods,salty_pretzels,sardines,sausages_meat,savoury_biscuits,shellfish_other,skimmed_milk,smoked_fish,soft_cheese,soy_sauce,soya_milk,spicy_foods,spinach,spirits,strawberries,sweet_coffee_drinks,sweet_foods,taking_stairs,tea_with_sugar,tea_without_sugar,tomato_ketchup,tinned_tuna,turnip_white,vegetables,vinegar,watching_television,whisky,white_bread,white_rice,white_wine,whole_grain_cereal,whole_milk,wholemeal_bread,working_up_sweat
306bd6e2-dda2-4150-82b4-a568a2297eb1,7,3,5,6,5,3,6,7,6,8,8,6,4,6,5,5,3,4,4,7,3,7,3,6,5,4,7,6,7,5,5,7,6,4,5,5,6,7,8,6,7,10,5,5,4,6,5,6,6,5,8,7,7,4,6,7,5,6,8,5,7,8,6,8,9,4,5,6,7,5,5,2,3,4,6,7,2,6,3,8,5,4,5,6,7,5,2,3,4,5,6,8,7,6,6,5,8,5,7,5,4,3,6,4,6,8,4,6,7,6,4,8,5,5,4,6,5,3,2,4,5,3,5,4,5,6,3,7,6,5,7,4,6,6,4,5,6,5,3,8,5,5,4,6,7,5,6,5,5,6
46c42a25-704e-4725-ad94-eb744967fd9b,7,3,5,6,5,4,6,8,7,8,8,8,4,6,6,7,3,4,5,7,4,8,4,6,5,5,8,6,7,5,5,7,8,4,5,5,7,8,9,6,7,10,5,6,5,6,5,6,7,6,9,7,8,4,6,8,5,7,8,6,7,9,6,8,9,5,4,6,7,5,6,3,4,5,6,7,2,8,4,9,7,6,5,7,8,6,2,4,5,6,7,9,7,7,6,7,9,6,8,6,5,4,7,5,7,8,5,6,9,7,4,9,6,5,5,7,6,4,3,8,5,4,5,4,6,7,3,7,6,5,6,5,7,6,4,5,7,6,4,8,6,5,4,6,7,6,5,5,6,6
9261f621-341c-4032-b2b5-db9dec2b21c5,7,3,5,6,5,3,6,8,7,7,9,8,4,6,6,5,3,4,5,7,4,7,4,6,5,5,9,6,7,5,5,6,5,4,5,5,5,6,9,7,7,10,5,5,5,6,5,6,5,6,8,7,7,5,5,8,5,7,8,6,7,9,6,7,9,5,5,5,6,5,6,3,4,5,6,7,2,6,4,7,5,4,5,6,7,5,2,4,3,6,6,8,7,7,6,5,9,5,8,5,4,5,7,4,6,8,6,5,9,6,4,8,5,4,5,7,6,5,3,8,5,4,5,4,5,6,3,7,6,5,6,5,6,6,4,5,7,5,4,7,6,5,4,6,6,5,5,5,5,6
f8abb88a-6722-443c-8d80-9b0be19853f7,7,3,5,6,5,3,6,8,7,7,9,8,4,6,6,5,3,4,5,7,4,7,3,6,5,4,9,6,8,5,4,5,6,4,5,3,5,4,9,6,7,10,3,5,6,5,4,6,5,6,8,7,6,4,3,7,5,6,7,6,7,8,5,6,9,4,3,5,6,5,7,3,5,4,6,7,2,6,3,7,5,4,6,7,6,5,2,3,3,5,6,7,7,7,6,5,9,5,8,5,4,3,8,4,6,8,3,5,9,6,4,8,5,4,5,5,6,4,3,8,5,3,5,4,5,6,3,7,6,5,5,4,5,6,4,5,7,5,3,7,6,5,4,6,7,5,5,5,5,6
066eebf5-117c-489f-a4e1-0d77c30c2a11,7,2,5,6,5,3,6,8,7,8,8,8,4,6,6,7,3,2,4,7,3,7,3,6,5,4,8,5,8,5,4,7,7,3,5,5,6,8,9,7,6,10,5,5,6,7,4,6,7,6,7,7,8,4,6,8,5,6,8,5,7,8,6,8,9,5,4,6,7,5,6,2,3,4,6,7,2,8,3,8,7,5,5,6,7,5,2,3,4,6,7,8,7,7,6,7,9,6,8,5,5,4,7,4,6,7,5,5,8,6,4,8,5,4,5,6,5,4,3,7,5,4,5,4,5,6,3,6,5,4,6,5,7,6,4,5,7,5,3,6,5,5,4,6,6,5,5,5,5,6
03679349-1714-49e1-b698-be65942a11a9,8,2,6,7,5,3,6,8,7,8,9,9,4,6,6,5,3,2,4,7,3,8,3,6,5,4,9,7,8,5,4,6,5,3,5,5,6,7,9,6,7,10,5,6,5,7,5,6,5,6,9,7,6,4,5,8,5,7,8,6,7,8,6,8,9,5,4,5,6,5,6,3,4,5,7,6,2,7,4,8,5,6,5,7,7,5,2,4,3,6,7,8,7,8,6,7,9,6,8,5,6,4,8,4,7,8,5,6,9,7,4,9,6,5,5,6,7,4,3,9,5,4,5,4,5,6,3,8,7,5,6,5,6,7,4,5,7,5,4,8,6,5,4,6,7,6,5,6,5,6
a27d2656-ac77-4e26-999e-99b79751ae69,8,3,6,7,5,4,7,8,6,8,9,8,4,6,7,6,3,4,5,7,4,8,3,6,5,4,9,6,7,5,4,7,8,4,5,5,6,7,9,6,7,10,5,6,5,6,5,6,7,6,9,7,7,5,5,8,6,7,8,6,7,9,6,8,9,5,4,5,7,6,6,3,4,5,7,6,2,8,4,9,7,6,5,7,6,5,2,4,5,6,7,8,7,8,7,6,9,6,8,5,6,4,8,5,7,8,5,6,9,7,4,9,6,5,6,7,6,4,3,8,5,4,5,4,6,7,3,8,7,5,6,7,8,6,5,6,8,5,4,7,6,5,4,6,7,6,5,6,5,6
1e5110b4-a396-4bbb-a59b-aa487cb9a4b2,7,3,6,7,5,4,6,8,7,8,9,9,4,6,6,7,3,4,5,7,4,8,4,6,5,6,9,6,7,5,5,8,8,4,5,5,7,8,9,6,7,10,5,7,6,6,5,6,7,6,8,7,8,4,5,8,5,7,8,6,7,9,6,8,9,5,4,6,7,5,6,3,4,5,7,6,2,8,4,9,7,5,6,8,7,5,2,4,3,6,7,9,7,8,7,6,9,6,8,5,5,4,8,4,7,8,4,5,9,7,3,9,6,5,6,7,5,4,3,8,5,3,5,4,6,7,3,7,6,5,6,7,8,6,5,6,8,4,3,7,6,4,5,6,7,6,5,6,5,6
5a52791e-e93d-4c71-bbf9-df34f5a25d36,7,1,5,6,5,3,6,8,7,8,9,9,4,6,6,5,2,3,4,7,3,8,3,6,5,6,9,7,8,5,4,6,5,3,5,3,5,4,9,6,7,10,4,5,6,5,4,6,5,6,8,7,6,3,4,7,5,6,8,7,6,8,5,6,9,3,2,4,6,5,6,2,3,4,7,6,2,7,3,8,5,4,5,6,7,5,2,3,3,6,6,8,7,7,6,5,9,5,8,5,4,3,8,4,6,8,5,6,9,7,4,9,6,5,4,6,7,3,2,8,5,3,5,4,6,7,3,7,6,5,6,4,5,6,4,5,7,5,3,7,6,5,4,6,7,6,5,6,5,6
86551bde-d781-4637-be54-bca81a21f602,6,2,5,5,4,3,6,7,6,8,7,6,3,5,5,4,2,3,3,6,4,7,3,5,5,4,7,6,7,4,4,5,5,3,4,3,5,6,8,5,6,10,4,5,4,5,3,6,5,6,8,6,7,3,4,7,5,6,8,5,7,8,6,7,9,4,3,5,6,5,5,3,4,2,6,7,2,6,3,7,5,4,5,6,6,5,2,3,3,5,6,7,6,7,5,6,8,5,8,5,4,3,6,4,6,7,3,5,7,5,3,8,5,4,3,5,6,4,2,7,4,2,5,3,5,6,2,6,6,4,5,3,5,6,4,5,6,4,3,7,5,5,3,6,5,5,5,5,5,6
ea9250fd-0839-4f01-9b27-e8bac8810dcd,7,3,5,6,5,3,6,8,7,8,8,8,4,6,6,7,3,3,4,7,3,8,4,6,6,5,8,6,7,5,5,7,6,4,5,5,6,7,9,6,7,10,5,5,6,7,4,6,5,6,9,7,7,4,6,8,5,6,8,6,7,8,6,8,9,4,3,5,6,5,6,3,4,5,7,6,2,7,4,8,6,5,5,7,6,5,2,3,4,6,7,8,7,7,6,7,9,5,8,5,5,4,8,4,6,8,4,6,8,6,3,9,5,4,5,6,5,3,2,7,4,3,5,4,5,6,2,7,6,5,7,5,7,6,4,5,7,5,3,7,6,4,4,6,6,5,5,6,5,5
220c610d-45b3-4828-a360-218f9f17583e,5,1,3,4,5,2,6,4,7,6,5,5,3,4,6,3,2,1,3,5,2,7,2,5,4,3,5,6,4,4,3,3,3,2,4,3,3,2,8,5,5,10,3,3,5,5,3,4,3,4,8,6,5,3,3,6,4,5,7,5,6,7,5,5,8,3,2,3,4,4,5,2,3,4,5,6,2,5,3,6,4,4,5,5,6,5,2,3,2,4,5,7,6,6,5,5,8,4,7,5,4,3,6,3,6,7,9,5,7,5,3,7,4,4,3,8,6,3,2,5,4,9,4,5,4,6,3,7,6,4,5,3,4,6,3,5,6,7,3,7,5,4,3,5,6,5,4,5,4,5
606fadb3-cbcf-4964-a249-4b47b2292035,7,3,5,6,5,3,6,8,7,6,9,9,4,6,6,5,3,3,4,7,3,8,4,6,5,5,9,6,7,5,4,5,4,3,5,3,5,4,9,7,6,10,5,4,6,5,3,6,5,5,9,7,6,4,3,8,5,7,8,6,7,8,6,7,9,4,3,5,6,5,7,3,5,4,6,7,2,6,3,7,5,4,6,8,6,5,2,3,3,5,6,8,7,7,6,5,9,5,8,5,4,3,8,4,6,8,4,6,9,7,3,9,5,4,5,6,7,3,2,9,4,3,5,4,5,6,2,7,6,5,6,4,5,6,3,5,7,5,4,8,6,5,4,6,7,6,5,5,5,6
23434ea9-791e-457d-9ef7-6b40b0a22886,6,2,5,6,5,3,4,7,6,8,7,6,3,5,5,4,2,3,4,6,3,7,3,5,4,4,7,5,6,5,4,5,4,3,4,3,5,6,8,6,5,10,4,5,4,6,3,5,4,5,8,6,5,3,4,7,5,6,7,5,6,7,5,6,8,4,3,4,6,5,5,3,4,3,5,6,2,6,3,7,4,5,5,6,7,5,2,3,3,5,6,7,6,6,5,6,8,5,7,5,4,3,6,4,6,7,3,5,7,5,3,8,5,4,4,6,5,3,2,6,4,3,4,3,5,5,2,6,5,4,6,3,5,6,4,5,6,4,3,7,5,5,3,6,5,5,4,5,5,6
8db0369c-4fc1-4c2c-a62f-0d2e6f38fb99,8,2,5,6,7,3,6,9,7,8,9,9,4,6,6,5,3,4,5,7,3,8,4,6,5,5,9,7,8,6,5,5,4,3,5,3,5,4,9,6,7,10,5,4,5,6,3,6,5,5,8,7,6,3,4,8,5,6,8,7,6,9,7,6,9,4,3,5,6,5,7,3,5,4,6,7,2,6,3,8,5,4,6,7,7,5,2,3,2,6,5,8,7,7,6,5,9,5,8,6,4,3,8,4,7,8,6,5,9,7,4,9,5,4,5,6,5,4,3,9,5,5,4,5,5,6,3,7,6,5,6,4,5,6,3,5,7,5,4,7,6,5,4,6,5,6,5,5,4,6
33e89892-cf7f-4db6-bb00-2f4753c3f97b,5,1,5,6,4,2,6,3,7,8,2,1,3,5,6,4,2,1,3,5,2,6,2,5,5,4,1,4,7,4,3,3,3,2,4,3,5,6,7,4,5,10,4,5,4,6,3,5,4,5,6,5,6,3,4,6,4,5,7,3,6,5,4,7,8,3,2,4,5,4,5,2,3,4,3,5,2,6,3,7,4,5,4,3,6,5,1,2,3,5,6,7,5,5,6,5,8,4,6,5,4,3,2,3,5,5,1,3,1,5,3,7,5,5,1,3,3,3,1,1,3,1,5,1,3,5,3,5,7,3,5,3,3,5,3,5,5,3,3,7,5,5,3,5,5,5,5,5,5,5
938e0e3a-6047-46f3-a901-f77a4b2b59a6,7,3,5,6,5,4,6,7,7,8,8,7,4,6,6,5,3,3,4,7,4,7,4,6,5,5,8,6,7,5,5,5,5,4,5,3,5,4,8,6,7,10,5,5,6,6,4,5,5,6,8,7,6,4,3,7,5,6,8,6,7,8,6,7,9,4,3,5,6,5,6,2,4,5,6,7,3,6,4,8,5,5,5,6,7,5,2,4,3,6,6,8,7,7,6,6,8,5,8,5,5,4,7,3,6,8,4,6,8,7,3,8,5,4,5,6,5,3,2,7,4,3,5,4,5,6,2,7,6,4,5,3,5,6,4,5,7,5,3,7,5,4,3,6,7,6,5,5,5,6
5cfcf350-25e7-499c-9308-410a00da4a9e,7,3,5,6,5,3,6,8,7,8,9,8,4,6,6,5,3,4,5,7,3,8,4,6,5,4,9,6,7,5,4,6,5,4,5,5,6,7,9,6,7,10,4,5,6,5,5,6,6,7,9,7,6,4,5,8,5,7,8,6,7,9,6,8,9,5,4,5,7,6,7,3,5,4,6,7,2,6,4,7,5,4,6,5,7,6,2,3,3,5,6,8,7,7,6,6,9,5,8,5,4,3,7,4,6,8,5,6,9,7,4,9,6,5,4,6,7,5,3,8,5,4,6,5,5,7,3,8,7,6,6,5,7,6,4,5,7,5,4,8,6,5,5,6,7,6,5,6,5,6
f8b0e188-9e49-4466-a2a0-69b94e5eef37,7,3,5,6,5,3,6,7,6,7,8,8,4,6,6,5,3,3,4,7,3,7,4,6,5,6,8,6,7,5,5,6,5,4,5,5,6,7,9,6,7,10,5,5,6,7,4,6,5,6,8,7,6,4,5,8,5,6,8,7,7,8,6,7,9,4,3,5,6,5,6,3,4,5,6,7,3,7,4,8,5,6,5,6,7,5,2,4,3,6,7,8,7,7,6,7,8,6,8,5,5,4,7,4,6,8,7,5,8,6,4,8,5,4,5,7,6,4,3,7,5,6,5,4,5,6,3,7,6,5,6,5,6,6,4,5,7,5,3,7,5,5,4,6,6,5,5,5,5,6
fd761daa-11c9-4797-a989-a38511f620a8,8,2,6,7,5,3,7,9,6,8,9,9,4,6,7,6,3,2,4,7,3,8,3,6,5,4,9,7,8,5,4,7,8,3,5,5,6,8,9,7,6,10,4,5,6,7,5,6,6,5,8,7,7,4,6,8,5,7,8,6,7,9,5,8,9,5,4,5,7,6,7,3,5,4,6,7,2,8,4,8,6,5,6,7,6,5,2,3,4,6,7,9,7,8,6,7,9,5,8,5,6,3,8,4,7,8,5,6,9,7,4,9,6,5,5,6,7,4,3,9,5,4,5,4,6,7,3,7,6,5,6,5,7,6,5,6,8,5,4,7,6,5,4,6,7,6,5,6,5,6
a27b8664-d053-4f33-a6af-41bf4c079612,7,3,5,6,5,4,6,7,6,8,7,7,4,5,6,5,3,3,4,7,4,7,4,6,5,5,7,6,7,5,5,7,7,4,5,5,7,8,9,6,7,10,5,5,6,7,5,6,6,7,8,7,8,5,6,8,5,7,8,6,7,8,6,8,9,5,4,6,7,6,6,3,4,5,6,7,3,7,4,8,6,5,5,7,6,5,2,4,3,5,6,8,7,7,6,6,8,5,8,6,5,4,7,4,6,8,5,6,8,6,4,8,5,5,5,6,6,4,3,7,5,5,5,4,5,6,3,7,6,5,6,5,7,6,4,5,7,5,4,7,6,5,4,6,6,5,5,5,5,6
a4c65eb8-f791-4317-8c9e-09ef3c7efb6f,7,2,5,6,6,4,5,8,7,7,8,7,3,6,6,4,3,2,5,7,2,8,4,6,5,5,8,6,7,5,5,3,2,3,5,3,4,5,9,6,7,10,5,4,6,5,3,5,4,6,9,7,5,3,4,7,5,6,8,6,7,8,6,7,9,4,3,5,6,5,7,3,5,4,6,7,2,6,4,5,4,5,6,7,6,5,2,3,2,5,6,7,7,7,6,5,8,5,8,5,4,3,7,4,6,8,5,6,8,7,4,9,5,6,4,7,6,3,2,7,5,4,5,6,5,7,3,8,7,6,5,4,5,6,4,5,7,6,3,8,6,5,5,6,7,6,5,6,5,5
b11e63a4-db33-4a85-8b03-b6b4e01e1204,7,2,5,6,4,3,6,8,7,8,8,8,3,5,6,5,3,2,4,6,3,7,3,5,6,4,8,6,7,5,4,6,7,3,5,3,5,6,9,7,6,10,4,5,4,6,3,5,4,6,8,6,7,3,5,7,5,6,8,6,7,8,5,7,9,4,3,5,6,5,6,2,4,3,5,6,2,7,4,8,5,4,5,6,7,5,2,3,3,5,6,8,7,7,6,6,8,5,8,5,4,3,7,4,6,8,3,5,8,6,4,9,5,4,3,6,5,4,2,8,5,2,5,4,5,6,3,7,6,5,7,4,6,6,4,5,7,5,3,7,5,5,4,6,7,5,5,5,6,5
c72ad3a6-3c90-4068-98e2-457e58d01c8e,7,3,5,6,5,3,6,7,8,7,8,7,4,6,6,5,3,3,4,7,3,8,4,6,5,4,8,6,7,5,4,5,4,3,5,3,5,4,9,7,6,10,5,5,6,6,4,5,5,6,9,7,6,4,3,7,5,6,8,6,7,8,6,7,9,4,3,5,6,5,5,2,4,3,6,7,2,6,3,7,5,4,5,6,7,5,2,3,3,5,6,8,6,7,6,5,9,5,8,6,4,3,7,4,6,8,6,5,8,7,4,9,5,4,6,7,6,5,3,8,5,4,5,4,5,6,3,8,7,5,6,4,5,6,4,5,7,5,4,8,5,5,4,6,7,6,5,5,5,6
4cd6ad0d-fbbf-4750-ad2d-c7142bb5adf3,7,3,5,6,5,4,6,8,7,7,9,8,4,6,6,5,3,4,5,7,3,8,4,6,5,5,9,6,7,5,5,4,5,4,5,3,5,4,9,6,7,10,5,5,6,6,4,5,4,5,8,7,6,4,3,8,5,6,7,6,6,8,6,6,9,4,3,5,6,5,6,2,4,3,6,7,2,6,3,7,5,4,5,6,7,5,2,3,2,6,5,8,7,6,5,6,8,5,8,5,4,3,7,4,6,8,5,6,9,6,4,8,5,5,4,6,5,4,3,9,5,4,5,4,5,6,3,7,6,5,6,4,5,6,5,6,7,5,4,7,6,5,4,6,6,5,5,5,5,6
