uuid,adding_salt,aniseed,apple_juice,apples,asparagus,aubergine,avocados,bacon,baked_steamed_fish,bananas,barbequed_grilled_meat,beef_steak,beetroot,bell_pepper,bicycling,biscuits,bitter_foods,bitter_ale,black_olives,black_pepper,blue_cheese,bolognese_sauce,broad_beans,broccoli,brown_rice,brussel_sprouts,burgers_meat,burn_spicy_foods,butter_bread,butternut_squash,cabbage,cake,cake_icing,capers,cauliflower,cereal_granola_bar,cheesecake,cherries,chicken,chilli_pepper,chips_french_fries,cigarette_smoking,cod,coffee_with_sugar,coffee_without_sugar,coriander,corn_flakes,cream,croissant,cucumber,curry,dairy_products,dark_chocolate,diet_fizzy_drinks,dried_fruit,eggs,exercising_alone,exercising_with_others,extra_virgin_olive_oil,fatty_foods,fresh_tomatoes,fried_chicken,fried_battered_fish,fruit,garlic,gherkins,globe_artichoke,goats_cheese,going_cafe,going_gym,going_pub,grapefruit,green_olives,haddock,ham,hard_cheese,herring,honey,horseradish_wasabi,ice_cream,jam,kiwi_fruit,lager,lamb,lemons,lentils_beans,liver,mackerel,marzipan,mayonnaise,melon,milk_chocolate,mushrooms,onions,orange_juice,oranges,pasta,pears,pizza,plain_yogurt,plums,pollock,pork_chop,porridge,potato_crisps,potatoes,prawns,raw_carrots,red_meat,red_wine,regular_fizzy_drinks,roast_chicken,salad_dressing,salad_leaves,salami,salmon,salty_foods,salty_pretzels,sardines,sausages_meat,savoury_biscuits,shellfish_other,skimmed_milk,smoked_fish,soft_cheese,soy_sauce,soya_milk,spicy_foods,spinach,spirits,strawberries,sweet_coffee_drinks,sweet_foods,taking_stairs,tea_with_sugar,tea_without_sugar,tomato_ketchup,tinned_tuna,turnip_white,vegetables,vinegar,watching_television,whisky,white_bread,white_rice,white_wine,whole_grain_cereal,whole_milk,wholemeal_bread,working_up_sweat
bf6846e2-7267-4437-afc1-0f8c509cd2df,7,3,5,6,5,4,6,8,7,8,9,8,4,6,5,5,3,4,5,7,3,8,4,6,5,5,9,6,7,5,5,6,5,4,5,5,5,3,9,6,7,10,5,5,5,6,5,5,5,6,9,7,5,5,4,7,5,6,8,5,7,8,5,6,9,4,4,5,6,5,5,3,4,4,6,7,2,6,3,8,5,4,5,6,7,5,2,3,2,6,5,8,7,7,6,5,8,5,7,5,4,4,6,4,6,8,5,6,8,6,4,9,5,5,4,7,6,3,2,6,5,4,5,4,5,6,3,7,6,5,6,5,5,6,4,5,6,5,4,8,5,4,4,6,7,5,5,5,5,6
48045289-6bf0-4938-bf87-de41b8d83228,7,3,5,7,5,3,6,8,7,8,8,7,4,6,6,7,3,4,5,7,4,7,3,6,5,4,8,6,7,5,4,7,6,4,5,5,7,8,9,6,7,10,5,5,6,6,5,6,6,5,8,7,7,5,6,8,5,6,8,6,7,8,6,8,9,5,4,6,7,5,6,3,4,5,6,7,2,7,4,8,6,5,5,6,7,5,2,4,5,6,6,8,7,7,6,6,8,5,8,6,5,4,7,4,7,8,5,6,8,6,4,8,5,5,5,6,6,4,3,7,5,4,5,5,6,6,4,7,6,5,7,5,7,6,5,6,7,5,4,8,6,5,4,6,7,5,6,5,6,5
10d7e83d-510c-4858-881b-e013b3088281,7,3,5,6,5,3,6,8,7,8,9,9,4,6,6,5,3,4,5,7,4,8,3,6,5,4,9,6,7,5,4,6,5,4,5,5,6,7,9,6,7,10,5,5,6,7,5,6,5,6,9,7,6,4,5,8,5,6,8,7,7,8,6,8,9,5,4,5,6,5,6,3,4,5,6,7,2,7,4,8,5,6,5,7,8,6,2,4,3,5,7,8,7,7,6,7,9,5,8,6,5,4,8,4,7,8,5,6,9,7,4,9,6,5,4,6,7,5,3,8,5,4,5,4,6,7,3,8,7,6,5,4,6,6,5,6,8,5,4,8,7,5,5,6,7,6,5,6,5,6
27188a55-046f-457b-b3cc-9b38abf8e219,7,3,5,6,5,3,6,8,6,7,9,8,4,5,6,4,3,3,4,7,3,8,3,6,5,4,9,6,7,5,4,5,4,3,5,5,4,6,9,7,6,10,4,5,6,7,5,6,5,6,9,7,6,4,3,7,5,7,8,6,6,8,5,7,9,3,2,4,6,5,7,2,4,5,6,7,3,6,4,6,5,5,7,6,7,5,2,4,3,6,5,8,7,8,6,6,9,5,8,5,5,4,8,4,7,8,4,6,9,7,3,9,5,6,5,6,7,4,3,8,5,3,5,4,5,6,3,7,6,5,6,4,5,6,4,5,7,5,4,8,5,5,4,6,7,6,5,5,5,6
6e363511-9470-4fd6-8f20-bef5fc288379,7,3,5,6,5,4,6,8,7,7,8,8,4,6,6,5,3,4,5,7,4,8,4,6,5,5,8,6,7,5,5,6,7,4,5,5,6,7,9,6,7,10,5,4,5,6,5,6,5,6,8,7,6,4,5,8,5,6,8,6,7,9,6,7,9,5,4,5,6,5,7,3,5,4,6,7,2,6,4,8,5,6,7,6,7,5,2,4,5,6,7,8,7,7,6,7,8,6,8,5,5,4,7,4,6,8,5,6,8,6,4,8,5,5,5,6,6,4,3,7,5,4,5,5,5,6,3,7,6,5,6,4,5,6,5,6,7,5,4,7,5,5,4,6,6,5,5,5,5,6
c61833df-d331-47bd-8f2f-6442e7a0bc28,7,3,5,6,5,3,6,8,7,6,9,8,4,5,6,4,3,3,4,7,3,7,3,6,5,4,9,6,7,5,5,4,4,3,5,3,5,4,9,6,7,10,5,5,6,4,3,6,5,6,8,7,6,3,4,7,5,6,8,7,6,9,6,7,9,4,3,5,6,5,6,2,3,4,6,7,2,5,3,8,5,4,5,6,7,5,2,3,2,6,5,7,6,7,5,6,8,5,9,5,4,3,7,4,6,8,5,6,9,7,4,9,6,5,4,6,5,3,2,8,5,4,5,4,5,6,3,7,6,5,6,4,5,6,4,5,7,5,3,7,6,5,4,6,7,6,5,5,5,6
d5be47d1-a884-408d-b852-a2c9e96a0f27,7,3,5,6,5,4,6,8,7,8,8,8,4,6,6,7,3,4,5,7,4,8,4,6,5,4,8,6,8,5,4,7,6,4,5,5,6,7,9,6,7,10,5,5,6,7,5,6,6,5,9,7,7,4,6,7,5,6,8,6,7,8,6,8,9,5,4,5,7,5,6,3,4,5,6,7,2,7,4,8,6,5,5,7,8,6,2,4,5,6,7,8,7,7,6,7,9,6,9,5,5,4,7,4,6,8,5,6,8,6,4,9,6,5,5,7,6,4,3,7,5,4,5,4,6,6,3,7,7,5,6,5,7,6,4,5,7,5,3,8,6,5,4,6,7,5,6,5,6,5
c8f9c91d-e92d-4601-96a6-2055b3221c63,7,3,5,6,5,4,6,7,8,7,8,8,4,6,6,5,3,4,5,7,4,8,4,6,5,5,8,6,7,5,5,6,6,4,5,5,6,7,9,6,7,10,5,5,6,7,5,6,6,7,9,7,6,4,5,8,5,7,8,6,8,8,6,8,9,5,4,5,7,5,6,3,5,4,6,7,2,7,4,8,6,5,5,7,8,6,2,3,4,5,6,8,7,7,6,7,9,5,8,6,5,4,7,3,6,8,4,6,8,7,3,9,5,6,5,6,6,4,3,7,5,3,4,5,5,6,3,7,6,5,6,4,5,6,4,5,7,5,3,8,6,5,4,6,7,6,5,5,5,6
437b19c2-7494-4dbd-9e36-fc6fe622089b,7,3,5,6,5,4,6,7,7,8,8,7,4,6,6,5,3,4,5,7,4,7,4,6,5,5,8,6,7,5,5,7,7,4,5,5,7,8,9,6,7,10,5,5,6,7,5,6,6,5,8,7,8,4,6,7,5,6,8,6,7,8,6,8,9,5,4,6,7,5,6,3,4,5,6,7,3,7,4,8,6,5,5,6,7,5,2,4,5,6,7,8,7,7,6,7,8,6,8,6,5,4,7,4,6,8,5,6,7,6,4,8,6,5,5,6,6,4,3,6,5,4,5,4,5,6,4,7,7,5,6,5,7,6,5,6,7,5,4,8,6,5,4,6,6,5,6,5,5,6
b26bbc84-778f-4625-8dd8-b821212b11d0,7,2,5,6,4,3,6,8,7,7,8,8,3,6,6,5,2,3,4,7,3,7,3,6,5,4,8,6,7,5,4,5,6,3,5,3,5,4,9,6,7,10,5,5,6,5,4,6,5,6,8,7,6,4,3,8,5,6,8,6,7,8,6,7,9,4,3,5,6,5,6,2,3,4,6,7,2,5,3,7,5,4,5,6,7,5,2,3,2,5,6,8,7,7,6,5,8,5,8,6,4,3,7,4,6,8,4,6,9,7,3,9,5,4,5,6,6,4,3,8,5,3,5,4,5,6,3,7,6,5,6,4,5,6,4,5,7,5,3,7,6,5,4,6,7,6,5,5,5,6
