uuid,rating,item_title,item_ingredients,item_id,recipe_index
8ba9549e-2542-49a6-8517-586e3926f939,1.0,garlic loaf,"['butter', 'parsley', 'garlic powder', 'garlic salt', 'frozen bread dough']",415374,90323
8ba9549e-2542-49a6-8517-586e3926f939,2.0,chicken coconut curry soup   a k a  easy mulligatawny,"['whole boneless skinless chicken breast', 'potatoes', 'carrots', 'onion', 'curry powder', 'gingerroot', 'garlic', 'ground cumin', 'chicken stock cubes', 'water', 'coconut milk', 'salt', 'fresh ground pepper']",352281,43806
8ba9549e-2542-49a6-8517-586e3926f939,1.0,cherry almond butter cookies,"['butter', 'sugar', 'egg', 'vanilla', 'flour', 'baking powder', 'dried cherries', 'slivered almonds']",198802,41168
8ba9549e-2542-49a6-8517-586e3926f939,1.0,second only to my meatloaf  meatballs,"['ground beef', 'oatmeal', 'onion', 'egg', 'milk', 'salt', 'ketchup', 'vinegar', 'sugar', 'prepared mustard']",38852,519
8ba9549e-2542-49a6-8517-586e3926f939,2.0,easy pasta lasagna,"['rigatoni pasta', 'eggs', 'ricotta cheese', 'parmesan cheese', 'minced garlic cloves', 'oregano', 'salt & pepper', 'pasta sauce', 'diced tomatoes', 'sour cream', 'mozzarella cheese']",51836,77465
8ba9549e-2542-49a6-8517-586e3926f939,1.0,garlic fries  light,"['canola oil', 'salt', 'baking potatoes', 'cooking spray', 'butter', 'garlic cloves', 'fresh parsley', 'parmesan cheese']",248074,90229
8ba9549e-2542-49a6-8517-586e3926f939,1.0,breakfast  pizza   somersize,"['bulk sausage', 'cheddar cheese', 'eggs', 'diced tomato', 'fresh mushrooms']",86607,28383
8ba9549e-2542-49a6-8517-586e3926f939,-1.0,easter deviled eggs,"['hard-cooked eggs', 'cream cheese', 'dijon mustard', 'mayonnaise', 'white vinegar', 'sea salt', 'fresh ground pepper', 'fresh dill weed', 'paprika']",220440,74532
8ba9549e-2542-49a6-8517-586e3926f939,1.0,baked corn  like a corn casserole  but no cheese or sour cream,"['eggs', 'creamed corn', 'sugar', 'club crackers', 'salt', 'milk', 'butter']",336852,13949
8ba9549e-2542-49a6-8517-586e3926f939,2.0,chicken oreganata with lime,"['fresh oregano', 'lime zest', 'ground cumin', 'garlic cloves', 'fresh ground black pepper', 'chicken breasts', 'extra virgin olive oil', 'salt', 'flour', 'chicken broth', 'tequila', 'fresh lime juice']",418161,45008
8ba9549e-2542-49a6-8517-586e3926f939,1.0,hazelnut chip scones,"['flour', 'sugar', 'baking powder', 'salt', 'cream of tartar', 'butter', 'egg', 'hazelnut-flavored liquid coffee creamer', 'semi-sweet chocolate chips', 'brown sugar', 'ground cinnamon', 'ground allspice', 'ground nutmeg']",134451,103024
8ba9549e-2542-49a6-8517-586e3926f939,-1.0,baked tofu with mushroom gravy,"['soft silken tofu', 'butter', 'white onions', 'white button mushrooms', 'flour', 'low-fat milk', 'low-fat plain yogurt', 'salt', 'pepper', 'dried thyme', 'oil', 'nonstick cooking spray']",163427,15414
8ba9549e-2542-49a6-8517-586e3926f939,1.0,barbecue hamburger patties,"['beef', 'onion', 'salt', 'catsup', 'chili sauce', 'brown sugar', 'lemon juice']",8054,17596
8ba9549e-2542-49a6-8517-586e3926f939,1.0,gravy peas,"['peas', 'margarine', 'flour', '2% low-fat milk', 'salt', 'pepper']",384508,96003
